sequence_id,species,label,negative_type,cv_group,split,fold
Ath_P_AT1G16800_1,Ath,1,,CVG000096,all,2
Ath_P_AT1G16840_1,Ath,1,,CVG008304,all,4
Ath_P_AT1G16860_1,Ath,1,,CVG008305,all,3
Ath_P_AT1G16916_1,Ath,1,,CVG002067,all,1
Ath_P_AT1G16970_1,Ath,1,,CVG002068,all,3
Ath_P_AT1G17030_1,Ath,1,,CVG002069,all,1
Ath_P_AT1G17110_1,Ath,1,,CVG008306,all,3
Ath_P_AT1G17140_1,Ath,1,,CVG008307,all,1
Ath_P_AT1G17220_1,Ath,1,,CVG008308,all,2
Ath_P_AT1G17230_1,Ath,1,,CVG002070,all,4
Ath_P_AT1G17285_1,Ath,1,,CVG000513,all,0
Ath_P_AT1G17340_1,Ath,1,,CVG000509,all,4
Ath_P_AT1G17345_1,Ath,1,,CVG002071,all,3
Ath_P_AT1G17420_1,Ath,1,,CVG002072,all,1
Ath_P_AT1G17530_1,Ath,1,,CVG002073,all,4
Ath_P_AT1G17745_1,Ath,1,,CVG002074,all,0
Ath_P_AT1G17750_1,Ath,1,,CVG008309,all,4
Ath_P_AT1G17760_1,Ath,1,,CVG008310,all,4
Ath_P_AT1G17810_1,Ath,1,,CVG008311,all,0
Ath_P_AT1G17840_1,Ath,1,,CVG002075,all,0
Ath_P_AT1G17870_1,Ath,1,,CVG008312,all,1
Ath_P_AT1G17920_1,Ath,1,,CVG002076,all,4
Ath_P_AT1G17930_1,Ath,1,,CVG002077,all,3
Ath_P_AT1G17940_1,Ath,1,,CVG008313,all,4
Ath_P_AT1G17980_1,Ath,1,,CVG002078,all,2
Ath_P_AT1G18010_1,Ath,1,,CVG008314,all,0
Ath_P_AT1G18020_1,Ath,1,,CVG008315,all,2
Ath_P_AT1G18030_1,Ath,1,,CVG002078,all,2
Ath_P_AT1G18060_1,Ath,1,,CVG008316,all,2
Ath_P_AT1G18070_1,Ath,1,,CVG002079,all,1
Ath_P_AT1G18140_1,Ath,1,,CVG008317,all,4
Ath_P_AT1G18280_1,Ath,1,,CVG002080,all,3
Ath_P_AT1G18335_1,Ath,1,,CVG001033,all,2
Ath_P_AT1G18350_1,Ath,1,,CVG002081,all,2
Ath_P_AT1G18390_1,Ath,1,,CVG000208,all,4
Ath_P_AT1G18485_1,Ath,1,,CVG002082,all,0
Ath_P_AT1G18500_1,Ath,1,,CVG008318,all,3
Ath_P_AT1G18590_1,Ath,1,,CVG000444,all,0
Ath_P_AT1G18660_1,Ath,1,,CVG000284,all,2
Ath_P_AT1G18700_1,Ath,1,,CVG008319,all,0
Ath_P_AT1G18710_1,Ath,1,,CVG000034,all,0
Ath_P_AT1G18980_1,Ath,1,,CVG002083,all,4
Ath_P_AT1G19010_1,Ath,1,,CVG002084,all,0
Ath_P_AT1G19170_1,Ath,1,,CVG002085,all,3
Ath_P_AT1G19310_1,Ath,1,,CVG002086,all,3
Ath_P_AT1G19340_1,Ath,1,,CVG008320,all,0
Ath_P_AT1G19397_1,Ath,1,,CVG001047,all,4
Ath_P_AT1G19430_1,Ath,1,,CVG008321,all,1
Ath_P_AT1G19485_1,Ath,1,,CVG002087,all,1
Ath_P_AT1G19630_1,Ath,1,,CVG008322,all,2
Ath_P_AT1G19650_1,Ath,1,,CVG008323,all,2
Ath_P_AT1G19660_1,Ath,1,,CVG002088,all,0
Ath_P_AT1G19680_1,Ath,1,,CVG002089,all,1
Ath_P_AT1G19715_1,Ath,1,,CVG002090,all,2
Ath_P_AT1G19740_1,Ath,1,,CVG008324,all,0
Ath_P_AT1G19770_1,Ath,1,,CVG002091,all,2
Ath_P_AT1G19780_1,Ath,1,,CVG008325,all,1
Ath_P_AT1G19835_1,Ath,1,,CVG000389,all,2
Ath_P_AT1G19870_1,Ath,1,,CVG002092,all,0
Ath_P_AT1G20020_1,Ath,1,,CVG002093,all,1
Ath_P_AT1G20060_1,Ath,1,,CVG000935,all,2
Ath_P_AT1G20132_1,Ath,1,,CVG002094,all,4
Ath_P_AT1G20190_1,Ath,1,,CVG002095,all,4
Ath_P_AT1G20260_1,Ath,1,,CVG002096,all,1
Ath_P_AT1G20340_1,Ath,1,,CVG001133,all,3
Ath_P_AT1G20410_1,Ath,1,,CVG008326,all,2
Ath_P_AT1G20450_1,Ath,1,,CVG008327,all,4
Ath_P_AT1G20580_1,Ath,1,,CVG002097,all,0
Ath_P_AT1G20680_1,Ath,1,,CVG008328,all,3
Ath_P_AT1G20696_1,Ath,1,,CVG008329,all,4
Ath_P_AT1G20870_1,Ath,1,,CVG008330,all,4
Ath_P_AT1G20910_1,Ath,1,,CVG002098,all,3
Ath_P_AT1G20950_1,Ath,1,,CVG008331,all,4
Ath_P_AT1G20980_1,Ath,1,,CVG002099,all,4
Ath_P_AT1G21060_1,Ath,1,,CVG008332,all,4
Ath_P_AT1G21070_1,Ath,1,,CVG002100,all,1
Ath_P_AT1G21160_1,Ath,1,,CVG008333,all,3
Ath_P_AT1G21190_1,Ath,1,,CVG008334,all,2
Ath_P_AT1G21270_1,Ath,1,,CVG002101,all,2
Ath_P_AT1G21310_1,Ath,1,,CVG008335,all,1
Ath_P_AT1G21395_1,Ath,1,,CVG002102,all,0
Ath_P_AT1G21400_1,Ath,1,,CVG008336,all,4
Ath_P_AT1G21480_1,Ath,1,,CVG002103,all,0
Ath_P_AT1G21510_1,Ath,1,,CVG002104,all,1
Ath_P_AT1G21520_1,Ath,1,,CVG008337,all,0
Ath_P_AT1G21530_1,Ath,1,,CVG002105,all,2
Ath_P_AT1G21580_1,Ath,1,,CVG000063,all,3
Ath_P_AT1G21670_1,Ath,1,,CVG002106,all,1
Ath_P_AT1G21700_1,Ath,1,,CVG008338,all,2
Ath_P_AT1G21810_1,Ath,1,,CVG008339,all,1
Ath_P_AT1G21840_1,Ath,1,,CVG002107,all,3
Ath_P_AT1G21850_1,Ath,1,,CVG002108,all,1
Ath_P_AT1G21970_1,Ath,1,,CVG000821,all,3
Ath_P_AT1G22030_1,Ath,1,,CVG002109,all,3
Ath_P_AT1G22050_1,Ath,1,,CVG002110,all,4
Ath_P_AT1G22110_1,Ath,1,,CVG000049,all,4
Ath_P_AT1G22160_1,Ath,1,,CVG000889,all,1
Ath_P_AT1G22180_1,Ath,1,,CVG002111,all,2
Ath_P_AT1G22260_1,Ath,1,,CVG008340,all,3
Ath_P_AT1G22380_1,Ath,1,,CVG007593,all,0
Ath_P_AT1G22450_1,Ath,1,,CVG002112,all,4
Ath_P_AT1G22500_1,Ath,1,,CVG002113,all,4
Ath_P_AT1G22520_1,Ath,1,,CVG002114,all,3
Ath_P_AT1G22550_1,Ath,1,,CVG002115,all,0
Ath_P_AT1G22630_1,Ath,1,,CVG008341,all,2
Ath_P_AT1G22640_1,Ath,1,,CVG002116,all,4
Ath_P_AT1G22710_1,Ath,1,,CVG002117,all,2
Ath_P_AT1G22730_1,Ath,1,,CVG002118,all,1
Ath_P_AT1G22740_1,Ath,1,,CVG008342,all,0
Ath_P_AT1G22760_1,Ath,1,,CVG008343,all,3
Ath_P_AT1G22780_1,Ath,1,,CVG008344,all,2
Ath_P_AT1G22830_1,Ath,1,,CVG008345,all,3
Ath_P_AT1G22850_1,Ath,1,,CVG002119,all,4
Ath_P_AT1G22880_1,Ath,1,,CVG002120,all,0
Ath_P_AT1G22900_1,Ath,1,,CVG007619,all,2
Ath_P_AT1G22930_1,Ath,1,,CVG008346,all,0
Ath_P_AT1G22980_1,Ath,1,,CVG000414,all,3
Ath_P_AT1G23010_1,Ath,1,,CVG002121,all,3
Ath_P_AT1G23020_1,Ath,1,,CVG008347,all,1
Ath_P_AT1G23080_1,Ath,1,,CVG008348,all,3
Ath_P_AT1G23130_1,Ath,1,,CVG008349,all,0
Ath_P_AT1G23420_1,Ath,1,,CVG002122,all,3
Ath_P_AT1G23460_1,Ath,1,,CVG008350,all,1
Ath_P_AT1G23550_1,Ath,1,,CVG002123,all,0
Ath_P_AT1G23730_1,Ath,1,,CVG008351,all,2
Ath_P_AT1G23740_1,Ath,1,,CVG002124,all,3
Ath_P_AT1G23760_1,Ath,1,,CVG000724,all,0
Ath_P_AT1G23790_1,Ath,1,,CVG002125,all,4
Ath_P_AT1G23840_1,Ath,1,,CVG002126,all,0
Ath_P_AT1G23870_1,Ath,1,,CVG002127,all,1
Ath_P_AT1G24020_1,Ath,1,,CVG002128,all,2
Ath_P_AT1G24030_1,Ath,1,,CVG002129,all,3
Ath_P_AT1G24110_1,Ath,1,,CVG008352,all,4
Ath_P_AT1G24148_1,Ath,1,,CVG008353,all,3
Ath_P_AT1G24240_1,Ath,1,,CVG002130,all,0
Ath_P_AT1G24260_1,Ath,1,,CVG008354,all,0
Ath_P_AT1G24320_1,Ath,1,,CVG007473,all,2
Ath_P_AT1G24340_1,Ath,1,,CVG008355,all,2
Ath_P_AT1G24350_1,Ath,1,,CVG002131,all,2
Ath_P_AT1G24430_1,Ath,1,,CVG002132,all,1
Ath_P_AT1G24440_1,Ath,1,,CVG002133,all,2
